SK_sale,order_id,item_id,SK_customer,SK_product,SK_staff,SK_store,SK_order_status,SK_order_date,SK_required_date,SK_shipped_date,quantity,list_price,discount,discount_amount,revenue_usd,net_revenue_EGP,net_revenue_EUR,net_revenue_GBP,net_revenue_AED,net_revenue_SAR,is_late_delivery,delivery_status,locality
1,1,1,259.0,20,2.0,1.0,4.0,1.0,3.0,3.0,1,599.99,0.2,119.998,479.99,25689.19,414.53,360.87,1763.08,1801.7,0.0,On Time,Local
2,1,2,259.0,8,2.0,1.0,4.0,1.0,3.0,3.0,2,1799.99,0.07,251.99860000000004,3347.98,179184.77,2891.42,2517.14,12297.63,12567.06,0.0,On Time,Local
3,1,3,259.0,10,2.0,1.0,4.0,1.0,3.0,3.0,2,1549.0,0.05,154.9,2943.1,157515.49,2541.76,2212.73,10810.45,11047.29,0.0,On Time,Local
4,1,4,259.0,16,2.0,1.0,4.0,1.0,3.0,3.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
5,1,5,259.0,4,2.0,1.0,4.0,1.0,3.0,3.0,1,2899.99,0.2,579.9979999999999,2319.99,124166.47,2003.62,1744.25,8521.67,8708.37,0.0,On Time,Local
6,2,1,1212.0,20,6.0,2.0,4.0,1.0,4.0,3.0,1,599.99,0.07,41.999300000000005,557.99,29863.77,481.9,419.52,2049.58,2094.49,0.0,On Time,Local
7,2,2,1212.0,16,6.0,2.0,4.0,1.0,4.0,3.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
8,3,1,523.0,3,7.0,2.0,4.0,2.0,5.0,3.0,1,999.99,0.05,49.999500000000005,949.99,50843.71,820.44,714.24,3489.46,3565.91,0.0,On Time,Local
9,3,2,523.0,20,7.0,2.0,4.0,2.0,5.0,3.0,1,599.99,0.05,29.9995,569.99,30506.01,492.26,428.54,2093.66,2139.53,0.0,On Time,Local
10,4,1,175.0,2,3.0,1.0,4.0,3.0,4.0,5.0,2,749.99,0.1,149.99800000000002,1349.98,72251.28,1165.89,1014.96,4958.68,5067.32,1.0,Late,Local
11,5,1,1324.0,10,6.0,2.0,4.0,3.0,6.0,6.0,2,1549.0,0.05,154.9,2943.1,157515.49,2541.76,2212.73,10810.45,11047.29,0.0,On Time,Local
12,2,2,1212.0,16,6.0,2.0,4.0,1.0,4.0,3.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
13,3,1,523.0,3,7.0,2.0,4.0,2.0,5.0,3.0,1,999.99,0.05,49.999500000000005,949.99,50843.71,820.44,714.24,3489.46,3565.91,0.0,On Time,Local
14,5,2,1324.0,17,6.0,2.0,4.0,3.0,6.0,6.0,1,429.0,0.07,30.03,398.97,21352.98,344.56,299.96,1465.48,1497.58,0.0,On Time,Local
15,5,3,1324.0,26,6.0,2.0,4.0,3.0,6.0,6.0,1,599.99,0.07,41.999300000000005,557.99,29863.77,481.9,419.52,2049.58,2094.49,0.0,On Time,Local
16,6,1,94.0,18,6.0,2.0,4.0,4.0,7.0,5.0,1,449.0,0.07,31.430000000000003,417.57,22348.46,360.63,313.94,1533.8,1567.4,0.0,On Time,Local
17,6,2,94.0,12,6.0,2.0,4.0,4.0,7.0,5.0,2,549.99,0.05,54.999,1044.98,55927.6,902.48,785.65,3838.37,3922.46,0.0,On Time,Local
