,store_name,city,state,product_name,brand_name,category_name,model_year,list_price,quantity,extraction_timestamp,data_source
0,Santa Cruz Bikes,Santa Cruz,CA,Trek 820 - 2016,Trek,Mountain Bikes,2016,379.99,27,2026-04-01 21:38:58.421075,DataLake
1,Santa Cruz Bikes,Santa Cruz,CA,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,2016,749.99,5,2026-04-01 21:38:58.421075,DataLake
2,Santa Cruz Bikes,Santa Cruz,CA,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,2016,999.99,6,2026-04-01 21:38:58.421075,DataLake
3,Santa Cruz Bikes,Santa Cruz,CA,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2016,2899.99,23,2026-04-01 21:38:58.421075,DataLake
4,Santa Cruz Bikes,Santa Cruz,CA,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,2016,1320.99,22,2026-04-01 21:38:58.421075,DataLake
5,Santa Cruz Bikes,Santa Cruz,CA,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,2016,469.99,0,2026-04-01 21:38:58.421075,DataLake
6,Santa Cruz Bikes,Santa Cruz,CA,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,2016,3999.99,8,2026-04-01 21:38:58.421075,DataLake
7,Santa Cruz Bikes,Santa Cruz,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,2016,1799.99,0,2026-04-01 21:38:58.421075,DataLake
8,Santa Cruz Bikes,Santa Cruz,CA,Trek Conduit+ - 2016,Trek,Electric Bikes,2016,2999.99,11,2026-04-01 21:38:58.421075,DataLake
9,Santa Cruz Bikes,Santa Cruz,CA,Surly Straggler - 2016,Surly,Cyclocross Bicycles,2016,1549.0,15,2026-04-01 21:38:58.421075,DataLake
10,Santa Cruz Bikes,Santa Cruz,CA,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,2016,1680.99,8,2026-04-01 21:38:58.421075,DataLake
11,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,549.99,16,2026-04-01 21:38:58.421075,DataLake
12,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,2016,549.99,16,2026-04-01 21:38:58.421075,DataLake
13,Santa Cruz Bikes,Santa Cruz,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,2016,269.99,13,2026-04-01 21:38:58.421075,DataLake
14,Santa Cruz Bikes,Santa Cruz,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,2016,269.99,13,2026-04-01 21:38:58.421075,DataLake
15,Santa Cruz Bikes,Santa Cruz,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,269.99,8,2026-04-01 21:38:58.421075,DataLake
16,Santa Cruz Bikes,Santa Cruz,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,2016,269.99,8,2026-04-01 21:38:58.421075,DataLake
17,Santa Cruz Bikes,Santa Cruz,CA,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,2016,529.99,3,2026-04-01 21:38:58.421075,DataLake
18,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,2016,599.99,4,2026-04-01 21:38:58.421075,DataLake
19,Santa Cruz Bikes,Santa Cruz,CA,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,429.0,2,2026-04-01 21:38:58.421075,DataLake
20,Santa Cruz Bikes,Santa Cruz,CA,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,2016,449.0,16,2026-04-01 21:38:58.421075,DataLake
21,Santa Cruz Bikes,Santa Cruz,CA,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,2016,449.0,4,2026-04-01 21:38:58.421075,DataLake
22,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,2016,599.99,26,2026-04-01 21:38:58.421075,DataLake
23,Santa Cruz Bikes,Santa Cruz,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,2016,269.99,24,2026-04-01 21:38:58.421075,DataLake
24,Santa Cruz Bikes,Santa Cruz,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,2016,269.99,29,2026-04-01 21:38:58.421075,DataLake
25,Santa Cruz Bikes,Santa Cruz,CA,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,2016,299.99,9,2026-04-01 21:38:58.421075,DataLake
26,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 21D - 2016,Electra,Comfort Bicycles,2016,549.99,10,2026-04-01 21:38:58.421075,DataLake
27,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,2016,499.99,10,2026-04-01 21:38:58.421075,DataLake
28,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,2016,599.99,16,2026-04-01 21:38:58.421075,DataLake
29,Santa Cruz Bikes,Santa Cruz,CA,Surly Big Dummy Frameset - 2017,Surly,Mountain Bikes,2017,999.99,21,2026-04-01 21:38:58.421075,DataLake
30,Santa Cruz Bikes,Santa Cruz,CA,Surly Karate Monkey 27.5+ Frameset - 2017,Surly,Mountain Bikes,2017,2499.99,20,2026-04-01 21:38:58.421075,DataLake
31,Santa Cruz Bikes,Santa Cruz,CA,Trek X-Caliber 8 - 2017,Trek,Mountain Bikes,2017,999.99,13,2026-04-01 21:38:58.421075,DataLake
32,Santa Cruz Bikes,Santa Cruz,CA,Surly Ice Cream Truck Frameset - 2017,Surly,Mountain Bikes,2017,999.99,30,2026-04-01 21:38:58.421075,DataLake
33,Santa Cruz Bikes,Santa Cruz,CA,Surly Wednesday - 2017,Surly,Mountain Bikes,2017,1632.99,2,2026-04-01 21:38:58.421075,DataLake
34,Santa Cruz Bikes,Santa Cruz,CA,Trek Farley Alloy Frameset - 2017,Trek,Mountain Bikes,2017,469.99,0,2026-04-01 21:38:58.421075,DataLake
35,Santa Cruz Bikes,Santa Cruz,CA,Surly Wednesday Frameset - 2017,Surly,Mountain Bikes,2017,469.99,10,2026-04-01 21:38:58.421075,DataLake
36,Santa Cruz Bikes,Santa Cruz,CA,Trek Session DH 27.5 Carbon Frameset - 2017,Trek,Mountain Bikes,2017,469.99,2,2026-04-01 21:38:58.421075,DataLake
37,Santa Cruz Bikes,Santa Cruz,CA,Sun Bicycles Spider 3i - 2017,Sun Bicycles,Mountain Bikes,2017,832.99,18,2026-04-01 21:38:58.421075,DataLake
38,Santa Cruz Bikes,Santa Cruz,CA,Surly Troll Frameset - 2017,Surly,Mountain Bikes,2017,832.99,26,2026-04-01 21:38:58.421075,DataLake
39,Santa Cruz Bikes,Santa Cruz,CA,Haro Flightline One ST - 2017,Haro,Mountain Bikes,2017,379.99,12,2026-04-01 21:38:58.421075,DataLake
40,Santa Cruz Bikes,Santa Cruz,CA,Haro Flightline Two 26 Plus - 2017,Haro,Mountain Bikes,2017,549.99,13,2026-04-01 21:38:58.421075,DataLake
41,Santa Cruz Bikes,Santa Cruz,CA,Trek Stache 5 - 2017,Trek,Mountain Bikes,2017,1499.99,2,2026-04-01 21:38:58.421075,DataLake
42,Santa Cruz Bikes,Santa Cruz,CA,Trek Fuel EX 9.8 29 - 2017,Trek,Mountain Bikes,2017,4999.99,24,2026-04-01 21:38:58.421075,DataLake
43,Santa Cruz Bikes,Santa Cruz,CA,Haro Shift R3 - 2017,Haro,Mountain Bikes,2017,1469.99,10,2026-04-01 21:38:58.421075,DataLake
44,Santa Cruz Bikes,Santa Cruz,CA,Trek Fuel EX 5 27.5 Plus - 2017,Trek,Mountain Bikes,2017,2299.99,0,2026-04-01 21:38:58.421075,DataLake
45,Santa Cruz Bikes,Santa Cruz,CA,Trek Fuel EX 9.8 27.5 Plus - 2017,Trek,Mountain Bikes,2017,5299.99,2,2026-04-01 21:38:58.421075,DataLake
