order_id,item_id,product_id,quantity,list_price,discount,extraction_timestamp,data_source,net_revenue_usd,net_revenue_EGP,net_revenue_EUR,net_revenue_GBP,net_revenue_AED,net_revenue_SAR
1,1,20,1,599.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,479.99,25689.19,414.53,360.87,1763.08,1801.7
1,2,8,2,1799.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,3347.98,179184.77,2891.42,2517.14,12297.63,12567.06
1,3,10,2,1549.0,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,2943.1,157515.49,2541.76,2212.73,10810.45,11047.29
1,4,16,2,599.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1139.98,61012.03,984.52,857.08,4187.32,4279.06
1,5,4,1,2899.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,2319.99,124166.47,2003.62,1744.25,8521.67,8708.37
2,1,20,1,599.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,557.99,29863.77,481.9,419.52,2049.58,2094.49
2,2,16,2,599.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1139.98,61012.03,984.52,857.08,4187.32,4279.06
3,1,3,1,999.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,949.99,50843.71,820.44,714.24,3489.46,3565.91
3,2,20,1,599.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,569.99,30506.01,492.26,428.54,2093.66,2139.53
4,1,2,2,749.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,1349.98,72251.28,1165.89,1014.96,4958.68,5067.32
5,1,10,2,1549.0,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,2943.1,157515.49,2541.76,2212.73,10810.45,11047.29
2,2,16,2,599.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1139.98,61012.03,984.52,857.08,4187.32,4279.06
3,1,3,1,999.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,949.99,50843.71,820.44,714.24,3489.46,3565.91
5,2,17,1,429.0,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,398.97,21352.98,344.56,299.96,1465.48,1497.58
5,3,26,1,599.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,557.99,29863.77,481.9,419.52,2049.58,2094.49
6,1,18,1,449.0,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,417.57,22348.46,360.63,313.94,1533.8,1567.4
6,2,12,2,549.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1044.98,55927.6,902.48,785.65,3838.37,3922.46
6,3,20,1,599.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,539.99,28900.41,466.35,405.98,1983.46,2026.92
6,4,3,2,999.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1859.98,99546.62,1606.34,1398.4,6831.99,6981.67
6,5,9,2,2999.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,5579.98,298642.0,4819.05,4195.24,20496.1,20945.15
7,1,15,1,529.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,492.89,26379.6,425.68,370.57,1810.46,1850.12
7,2,3,1,999.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,899.99,48167.7,777.26,676.65,3305.8,3378.22
7,3,17,2,429.0,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,772.2,41328.35,666.9,580.57,2836.41,2898.55
6,5,9,2,2999.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,5579.98,298642.0,4819.05,4195.24,20496.1,20945.15
7,1,15,1,529.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,492.89,26379.6,425.68,370.57,1810.46,1850.12
7,2,3,1,999.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,899.99,48167.7,777.26,676.65,3305.8,3378.22
7,3,17,2,429.0,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,772.2,41328.35,666.9,580.57,2836.41,2898.55
8,1,22,1,269.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,256.49,13727.41,221.51,192.84,942.13,962.77
8,2,20,2,599.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1115.98,59727.54,963.8,839.04,4099.16,4188.97
9,1,7,2,3999.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,7199.98,385344.82,6218.13,5413.21,26446.61,27026.02
10,1,14,1,269.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,242.99,13004.89,209.85,182.69,892.54,912.09
11,1,8,1,1799.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1709.99,91519.11,1476.8,1285.63,6281.05,6418.66
11,2,22,2,269.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,485.98,26009.78,419.71,365.38,1785.08,1824.19
11,3,16,2,599.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,959.98,51378.38,829.07,721.75,3526.15,3603.4
12,1,4,2,2899.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,5219.98,279374.7,4508.14,3924.57,19173.77,19593.85
12,2,11,1,1680.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1596.94,85468.65,1379.17,1200.64,5865.8,5994.31
13,1,13,1,269.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,242.99,13004.89,209.85,182.69,892.54,912.09
13,2,17,2,429.0,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,815.1,43624.37,703.95,612.82,2993.98,3059.58
13,3,20,2,599.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,1079.98,57800.81,932.71,811.97,3966.93,4053.84
13,4,16,2,599.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,1139.98,61012.03,984.52,857.08,4187.32,4279.06
14,1,6,1,469.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,437.09,23393.17,377.48,328.62,1605.5,1640.67
15,1,12,2,549.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1022.98,54750.16,883.48,769.11,3757.56,3839.88
15,2,8,1,1799.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1673.99,89592.39,1445.71,1258.57,6148.82,6283.53
15,3,18,2,449.0,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,853.1,45658.14,736.76,641.39,3133.56,3202.22
15,4,23,2,299.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,479.98,25688.66,414.53,360.87,1763.04,1801.66
16,1,8,1,1799.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,1439.99,77068.64,1243.62,1082.64,5289.3,5405.18
16,2,21,1,269.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,256.49,13727.41,221.51,192.84,942.13,962.77
16,3,13,2,269.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,502.18,26876.81,433.7,377.56,1844.58,1885.0
16,4,14,1,269.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,251.09,13438.4,216.85,188.78,922.29,942.5
17,1,8,1,1799.99,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1673.99,89592.39,1445.71,1258.57,6148.82,6283.53
17,2,23,1,299.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,269.99,14449.94,233.17,202.99,991.71,1013.44
17,3,5,1,1320.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,1188.89,63629.71,1026.76,893.85,4366.97,4462.65
17,4,20,2,599.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,959.98,51378.38,829.07,721.75,3526.15,3603.4
18,1,2,2,749.99,0.2,2026-04-01 01:59:18.974759,PostgreSQl Server,1199.98,64223.25,1036.34,902.19,4407.71,4504.27
18,2,22,1,269.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,256.49,13727.41,221.51,192.84,942.13,962.77
18,3,7,1,3999.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,3599.99,192672.41,3109.07,2706.61,13223.3,13513.01
18,4,25,2,499.99,0.05,2026-04-01 01:59:18.974759,PostgreSQl Server,949.98,50843.18,820.43,714.23,3489.42,3565.87
18,5,9,2,2999.99,0.1,2026-04-01 01:59:18.974759,PostgreSQl Server,5399.98,289008.35,4663.6,4059.9,19834.94,20269.5
19,1,10,1,1549.0,0.07,2026-04-01 01:59:18.974759,PostgreSQl Server,1440.57,77099.69,1244.12,1083.07,5291.43,5407.36
